01FFC714    OS_IrqHandler_ThreadSwitch
01FFC8A4    OSi_DoBoot
01FFC970    INITi_CpuClear32
01FFC970    OSi_CpuClear32
01FFCA2C    OSi_ReadCardRom32
01FFCB04    MIi_DmaSetParams
01FFCB44    MIi_DmaSetParams_wait
01FFCBB4    MIi_DmaSetParams_noInt
01FFCBD8    MIi_DmaSetParams_wait_noInt
01FFCC3C    MI_SendGXCommand
02000000    HW_MAIN_MEM
02000800    _start
0200093C    INITi_CpuClear32
0200093C    OSi_CpuClear32
02000950    MIi_UncompressBackward
02000950    MIi_UncompressBackward
020009FC    do_autoload
020009FC    do_autoload
02000A78    init_cp15
02000A78    init_cp15
02000B68    _start_ModuleParams
02000C1C    cardi_backup_assert
02000C1C    cardi_backup_assert
02000C50    NitroMain
02000C70    ENV_GetClass
02000C70    G3dGlbGetBaseScale
02002180    MTX_Scale44
02002424    PRC_IsPenUpMarker
02002424    PRC_IsPenUpMarker
0200378C    MTX_Scale44
02003798    MTX_Scale44
02005C38    OS_WaitAnyIrq
02007514    OS_WaitAnyIrq
020076F8    ENV_GetClass
020076F8    G3dGlbGetBaseScale
0200A57C    OS_WaitAnyIrq
0200C888    OS_WaitAnyIrq
02010814    PRC_IsEmpty
02010814    PRC_IsEmpty
02010D04    OS_WaitAnyIrq
020120F4    OS_WaitAnyIrq
02012108    ENV_GetClass
02012108    G3dGlbGetBaseScale
02012124    OS_EnableMainExArena
02012138    MTX_Scale44
02012144    G3CS_Nop
02012164    G3CS_Nop
02012174    MTX_Scale44
0201239C    MTX_Scale44
02012C70    OS_WaitAnyIrq
020135B8    OS_WaitAnyIrq
02013868    ENV_GetClass
02013868    G3dGlbGetBaseScale
020138D0    ENV_GetClass
020138D0    G3dGlbGetBaseScale
02013A80    OS_SetMainArenaHi
02013B88    OS_SetMainArenaHi
02013F6C    OS_SetMainArenaHi
02014074    MTX_Scale44
02014758    GX_GetDefaultDMA
02014758    GX_GetDefaultDMA
0201514C    OS_WaitAnyIrq
02015168    OS_WaitAnyIrq
0201518C    OS_WaitAnyIrq
020151E0    OS_WaitAnyIrq
02015F58    MTX_Scale44
020163C4    G2dCellDataBankHasVramTransferData
020181D8    MTX_Scale44
02018F40    G2dResetEntityPaletteTable
02018FF8    strerror
0201900C    strerror
02019020    strerror
02019034    strerror
0201AF64    MTX_Scale44
0201BCE4    WBTi_get_my_user_command_counter
0201D6F8    MTX_Scale44
0201D704    MTX_Scale44
0201D710    MTX_Scale44
0201D71C    MTX_Scale44
0201F3C8    OS_WaitAnyIrq
0201F6C0    ENV_GetClass
0201F6C0    G3dGlbGetBaseScale
0201F6CC    SndCaptureGetCaptureType
0201FFB0    CARD_SetPulledOutCallback
0201FFC0    OS_GetCurrentThread
0201FFC0    OS_GetCurrentThread
0202016C    MTX_Scale44
02020838    FX_DivS32
02020874    FX_ModS32
02020C0C    MI_GetUncompressedSize
02020C0C    MI_GetUncompressedSize
02021B00    FS_GetTableSize
02023964    MTX_Scale44
02024C74    MTX_Scale44
0202A5CC    OS_WaitAnyIrq
0202CD20    MTX_Scale44
0202CD2C    MTX_Scale44
0202CD38    MTX_Scale44
02033F00    MTX_Scale44
02033FC4    OS_WaitAnyIrq
020357E8    WBTi_get_block_info_list_header
020357F8    WBTi_set_block_info_list_header
02037680    MTX_Scale44
02037C50    MTX_Scale44
02037C5C    MTX_Scale44
02037C68    MTX_Scale44
02037C74    MTX_Scale44
02037C9C    MTX_Scale44
02037D30    ENV_GetClass
02037D30    G3dGlbGetBaseScale
0203D660    OS_GetTotalOccupiedSize
02042460    MTX_Scale44
020424AC    MTX_Scale44
02042634    MTX_Scale44
020426C4    MTX_Scale44
02042AA8    MTX_Scale44
02042AB4    MTX_Scale44
0204345C    MTX_Scale44
02043724    MTX_Scale44
02044A30    MTX_Scale44
02044B1C    MTX_Scale44
020454AC    FS_IsFile
020454AC    FS_IsFile
0204558C    G2dFontGetType
02045B18    MTX_Scale44
02047450    MTX_Scale44
020477D4    OS_WaitAnyIrq
020478C0    getCaptureMode_
020478C0    getCaptureMode_
02049004    MTX_Scale44
0204B250    GX_GetDefaultDMA
0204B250    GX_GetDefaultDMA
0204E824    G2dResetOamSoftEmuUVFlipCorrectFuncc
0204E824    OS_DisableMainExArena
02051250    OS_WaitAnyIrq
020518D0    OS_WaitAnyIrq
02053E10    MTX_Scale44
02053E1C    MTX_Scale44
02053E80    MTX_Scale44
02053E8C    MTX_Scale44
02053EB0    MTX_Scale44
02053EBC    MTX_Scale44
02053EE0    MTX_Scale44
02053EEC    MTX_Scale44
02053F10    MTX_Scale44
02054044    MTX_Scale44
02054080    MTX_Scale44
0205408C    MTX_Scale44
020540B0    MTX_Scale44
020540BC    MTX_Scale44
02054170    MTX_Scale44
02054194    MTX_Scale44
020541B8    MTX_Scale44
020541C4    MTX_Scale44
020541D0    MTX_Scale44
020541F4    MTX_Scale44
02054200    MTX_Scale44
02054224    MTX_Scale44
02054230    MTX_Scale44
0205423C    MTX_Scale44
